,bikes_no,longitude,latitude
0,18,-79.319796,43.665269
1,3,-79.445947,43.67142
2,20,-79.317693,43.666224
3,10,-79.376716,43.653236
4,10,-79.380288,43.663722
5,0,-79.389165,43.657763
6,21,-79.382736,43.656729
7,9,-79.414783,43.664467
8,1,-79.388858,43.675492
9,0,-79.396273,43.674991
10,0,-79.387778,43.671944
11,1,-79.351104,43.662365
12,31,-79.377962,43.646144
13,5,-79.358534,43.663993
14,16,-79.374756,43.657266
15,14,-79.3452697,43.6672144
16,1,-79.441159,43.673939
17,10,-79.340075,43.657991
18,21,-79.329408,43.66745
19,9,-79.338259,43.672453
20,14,-79.3348396,43.6592088
21,11,-79.35438,43.689211
22,12,-79.378497,43.656927
23,10,-79.372346,43.658295
24,2,-79.2889842,43.6940155
25,0,-79.4229684,43.6809164
26,2,-79.39535,43.6910667
27,1,-79.39654,43.6975969
28,30,-79.395954,43.639832
29,8,-79.399429,43.667333
30,6,-79.383177,43.6480008
31,1,-79.389099,43.656518
32,2,-79.38906,43.687999
33,5,-79.45166666666667,43.6563889
34,15,-79.399595,43.639179
35,5,-79.40138888888889,43.6616667
36,4,-79.45833333333334,43.66666667
37,11,-79.452559,43.657192
38,9,-79.4032,43.6576
39,4,-79.379052,43.660694
40,15,-79.395854,43.636533
41,16,-79.382767,43.659777
42,1,-79.380414,43.643667
43,7,-79.373327,43.666233
44,20,-79.393249,43.640114
45,5,-79.4016759,43.653766
46,5,-79.443054,43.6587734
47,5,-79.4413888888889,43.6538888888889
48,1,-79.4430555555556,43.6508333333333
49,12,-79.43868,43.651238
50,0,-79.422634,43.6544915
51,5,-79.4655296,43.6543604
52,9,-79.465083,43.635932
53,6,-79.460053,43.654501
54,6,-79.467763,43.634896
55,8,-79.4304,43.6314
56,0,-79.444966,43.636731
57,10,-79.4512787,43.6534268
58,2,-79.39894,43.7112153
59,9,-79.39201,43.655227
60,4,-79.34962,43.685167
61,0,-79.39014,43.6704537
62,6,-79.38551,43.6691099
63,14,-79.404444,43.641389
64,13,-79.396649,43.643834
65,4,-79.3895315,43.6545174
66,2,-79.404998,43.665846
67,0,-79.3895,43.6461
68,0,-79.29451,43.671349
69,2,-79.312315,43.667208
70,11,-79.288949,43.669328
71,13,-79.289,43.672571
72,6,-79.39192,43.638497
73,7,-79.315223,43.662771
74,3,-79.363525,43.66852
75,8,-79.401456,43.652473
76,16,-79.419576,43.643975
77,19,-79.36023,43.651318
78,17,-79.381484,43.656094
79,3,-79.405181,43.670318
80,10,-79.416111,43.676667
81,20,-79.435841,43.640634
82,14,-79.423611,43.639444
83,4,-79.42083333333333,43.67
84,7,-79.416389,43.671389
85,0,-79.42500000000001,43.68
86,14,-79.42527777777778,43.6394444
87,11,-79.40698,43.675791
88,1,-79.410278,43.675556
89,0,-79.414722,43.674444
90,6,-79.408317,43.671513
91,3,-79.35822,43.6783213
92,8,-79.356602,43.6848652
93,4,-79.347046,43.68395
94,5,-79.341307,43.690537
95,2,-79.423122,43.704461
96,17,-79.329196,43.659195
97,11,-79.3649,43.651885
98,10,-79.377557,43.682645
99,9,-79.43305555555555,43.6475
100,3,-79.393535,43.6494896
101,8,-79.44874,43.671526
102,8,-79.3827914,43.6452972
103,11,-79.3960744,43.6452091
104,2,-79.43361111111112,43.6555556
